request_id,log_stream,ts_cloudwatch,duration_ms,billed_ms,memory_mb,max_memory_mb,init_duration_ms
580ae673-8756-4d19-922c-5c65512567b4,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:32.466000+00:00,1.50,2,128,82,
d74561dc-73ba-46b0-b7b0-63734e5f37da,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:33.306000+00:00,3.07,4,128,82,
88844c7f-80ed-4f3d-9be8-5fc6cf451fc4,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:34.249000+00:00,1.34,2,128,82,
500d2523-00ef-4a94-8de5-b52ac88a9bf1,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:50.329000+00:00,40.66,215,128,82,174.20
a627df4f-210f-4b18-a79a-77c5e574b469,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:51.246000+00:00,1.73,2,128,82,
fd46beff-fc26-4118-8725-5e59edcab9f9,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:52.107000+00:00,1.72,2,128,82,
d380c4c7-06f0-419d-adfc-ca24279a7138,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:52.980000+00:00,1.39,2,128,82,
96220cd9-5f77-410b-bd4c-a59b656a76bf,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:53.877000+00:00,1.52,2,128,82,
5f71b4fb-e9fc-4819-b32a-8275e935bc05,2026/09/20/[$LATEST]8acc920e89e549ac8cb8a4ce2c657ea0,2026-09-20T00:55:54.732000+00:00,1.81,2,128,82,
5235ba51-0543-46bc-a605-ffce4ba4390f,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:11.372000+00:00,36.37,168,128,82,131.04
dc9b1973-830e-468c-b595-a195edb17782,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:12.218000+00:00,1.77,2,128,82,
268ca20d-38af-4ec3-9eae-8f7e28b3a5f4,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:13.111000+00:00,13.63,14,128,82,
023bdf05-96c6-452a-ad82-3ec9d610cd8a,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:13.958000+00:00,1.56,2,128,82,
ce4cd673-10d4-4e22-81b4-eba16b20b128,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:14.831000+00:00,3.38,4,128,82,
3d53e3a4-461e-4a97-bf68-9861d052f4ed,2026/09/20/[$LATEST]ea09832f9b4740b48d10882d8af88fe4,2026-09-20T00:56:15.726000+00:00,1.61,2,128,82,
2fbae59a-8f87-4efc-8994-cf96da9d663e,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:31.955000+00:00,32.98,158,128,82,124.17
ae1488c4-7353-456c-a71d-425c32bea3a9,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:32.832000+00:00,1.59,2,128,82,
2e99407c-f25b-4e01-a314-190cef83b03e,2026/09/20/[$LATEST]b57b62874e9743659cc51570b4e677ec,2026-09-20T00:56:33.697000+00:00,1.70,2,128,82,
