plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error,cw_duration_ms,cw_billed_ms,cw_init_duration_ms,cw_log_stream,resto_red_plataforma_ms
aws-lambda,forzado,11,4,2026-09-19T21:52:47.205,450.8,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,3595,,e042472f-ddc9-4e44-956a-5ad2254e6bd6,False,,,1.45,2,,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,449.4
aws-lambda,forzado,11,5,2026-09-19T21:52:48.158,439.2,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,4474,,4077f192-f0ef-4a9f-adf5-7447f5d0afed,False,,,1.29,2,,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,437.9
aws-lambda,forzado,12,0,2026-09-19T21:53:05.900,730.6,200,618f8770-ce51-44d4-9bd3-88089cf61906,,7,,3228ec58-995b-455c-a79e-552f556dc2dd,True,instance_id_cambio,,28.32,176,147.07,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,555.2
aws-lambda,forzado,12,1,2026-09-19T21:53:06.841,424.1,200,618f8770-ce51-44d4-9bd3-88089cf61906,,884,,bdb50311-5e31-40a1-a3cd-d4f78b94380a,False,,,1.82,2,,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,422.3
aws-lambda,forzado,12,2,2026-09-19T21:53:05.292,426.7,200,618f8770-ce51-44d4-9bd3-88089cf61906,,1739,,322fee1c-f6e8-4d36-bad1-3bc56b0a57f7,False,,,2.05,3,,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,424.6
aws-lambda,forzado,12,3,2026-09-19T21:53:06.282,487.3,200,618f8770-ce51-44d4-9bd3-88089cf61906,,2654,,16a81938-d72d-4df9-9be5-76df8f571c3b,False,,,1.76,2,,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,485.5
aws-lambda,forzado,12,4,2026-09-19T21:53:07.230,446.9,200,618f8770-ce51-44d4-9bd3-88089cf61906,,3529,,8970fca7-cd87-42c1-af4b-4c3b93acc152,False,,,1.43,2,,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,445.5
aws-lambda,forzado,12,5,2026-09-19T21:53:08.163,432.0,200,618f8770-ce51-44d4-9bd3-88089cf61906,,4389,,a4c6a3ea-f681-41a6-ac79-ea2cc6fc2563,False,,,1.39,2,,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,430.6
aws-lambda,forzado,13,0,2026-09-19T21:53:26.269,753.5,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,7,,1fa665b7-a968-4ff3-bfb3-555c4100cab6,True,instance_id_cambio,,22.69,180,157.00,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,573.8
aws-lambda,forzado,13,1,2026-09-19T21:53:27.275,501.7,200,1d48342d-d55e-4bf7-a6be-4a73ea56db99,,956,,1108ba65-b152-4f5c-839c-5fa16e49a6d4,False,,,1.65,2,,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,500.1
